Benchmark Name,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10,Iteration 11,Iteration 12,Iteration 13,Iteration 14,Iteration 15,Iteration 16,Iteration 17,Iteration 18,Iteration 19,Iteration 20,Iteration 21,Iteration 22,Iteration 23,Iteration 24,Iteration 25,Iteration 26,Iteration 27,Iteration 28,Iteration 29,Iteration 30
io.reactivex.rxjava3.core.clusters.Cluster_35._Benchmark.benchmark_Cluster_35$ ===,174014.354,173474.078,173556.039,172633.012,173458.451,173086.74,173108.467,173131.658,173295.984,172983.319,172999.531,172709.18,172648.397,173827.655,173331.249,173207.707,173891.656,173952.811,173844.857,173388.974,172718.106,172587.306,173666.411,173220.615,173733.088,172839.039,172237.413,173494.789,173644.084,172538.731
io.reactivex.rxjava3.core.clusters.Cluster_334._Benchmark.benchmark_Cluster_334$ ===,356119.621,356164.637,357075.817,355814.602,355022.247,355823.761,355641.335,355871.921,356079.197,356225.61,355022.279,356201.491,354507.431,355130.146,355472.372,356393.16,354430.154,355951.693,354258.186,357046.098,357596.973,357651.143,354557.307,356190.468,356365.932,355163.693,354499.174,356642.338,356834.703,355509.423
io.reactivex.rxjava3.core.clusters.Cluster_692._Benchmark.benchmark_Cluster_692$ ===,165491.725,165744.601,164992.073,164633.644,165979.971,165041.288,164932.848,164355.425,164210.327,165504.64,165954.1,166279.509,165737.869,164293.458,165678.148,165762.413,165902.075,165650.204,165494.256,165525.01,165476.167,162867.84,162503.253,162110.002,165303.534,165676.951,165228.95,166001.113,165409.377,165296.23
io.reactivex.rxjava3.core.clusters.Cluster_582._Benchmark.benchmark_Cluster_582$ ===,181097.753,181265.392,181105.719,180983.073,181437.292,180951.539,180060.383,181230.637,181206.319,181168.132,180124.169,177467.289,180348.071,181266.806,181128.449,181985.569,180994.043,181554.543,181782.343,180245.361,181123.439,181495.655,181813.702,180739.372,181430.446,180678.631,179238.706,181142.63,180841.805,181404.966
io.reactivex.rxjava3.core.clusters.Cluster_351._Benchmark.benchmark_Cluster_351$ ===,122353.95,121824.688,121964.002,121956.593,122243.728,122266.68,122095.452,121929.935,122085.378,122058.645,122297.306,122360.833,121894.675,122052.356,122017.163,122001.073,122061.301,122210.786,122309.781,122220.109,122296.89,122154.876,122006.595,122169.212,121892.342,122110.283,121975.273,121958.345,121445.385,122048.073
io.reactivex.rxjava3.core.clusters.Cluster_779._Benchmark.benchmark_Cluster_779$ ===,131206.454,132863.747,131368.75,130870.327,130685.841,130743.648,132283.232,131182.66,131001.966,131397.22,130796.793,131674.172,131501.03,122152.912,130312.214,131726.717,130839.95,130992.323,132551.389,132155.618,132136.17,131359.632,131082.471,130903.901,130608.691,132240.965,131433.68,132211.842,131210.222,132048.8
io.reactivex.rxjava3.core.clusters.Cluster_640._Benchmark.benchmark_Cluster_640$ ===,170771.859,170877.905,171013.302,171203.658,169832.432,170670.253,171314.547,170639.99,171467.387,171177.787,171027.525,169875.465,171382.158,171235.373,170484.058,171379.243,170528.195,169527.81,170421.036,170507.404,170883.843,170493.766,170453.201,170109.74,170785.91,170624.687,170636.36,169529.346,170521.851,170251.22
io.reactivex.rxjava3.core.clusters.Cluster_967._Benchmark.benchmark_Cluster_967$ ===,207432.581,207564.823,207033.978,206821.438,207106.036,206910.366,207125.398,206027.082,206346.853,206655.84,206446.781,205211.149,204945.645,206731.3,206155.447,206269.031,205191.442,205829.584,206300.888,206846.771,206428.73,206019.431,207341.822,206958.788,206633.295,206725.154,207321.124,207034.949,206855.838,206124.551
io.reactivex.rxjava3.core.clusters.Cluster_261._Benchmark.benchmark_Cluster_261$ ===,122630.726,122945.605,123297.588,123229.398,123493.611,122225.534,122457.729,122523.158,123690.718,122595.679,123633.379,122231.472,122196.708,123631.544,121410.092,121863.644,122378.274,123097.458,123368.608,123798.141,123190.556,123277.759,123079.993,122178.866,122408.379,123309.651,123755.145,123226.3,123000.905,123377.563
io.reactivex.rxjava3.core.clusters.Cluster_555._Benchmark.benchmark_Cluster_555$ ===,118491.568,118703.491,118549.686,118705.694,118745.327,118591.113,118727.637,118570.537,118921.779,118516.24,119145.425,119015.51,118838.677,118983.249,118868.288,118908.381,118538.982,119124.135,118867.745,119082.961,118739.883,119050.17,119408.547,118724.708,119140.777,118628.673,119235.55,118783.373,118545.093,118144.022
io.reactivex.rxjava3.core.clusters.Cluster_571._Benchmark.benchmark_Cluster_571$ ===,201647.529,201912.84,201072.812,201716.923,200623.647,200935.458,201559.049,201023.156,201679.42,201369.667,201550.553,201203.475,201215.518,201072.655,201663.971,200453.746,200697.682,200017.068,200700.868,201651.888,200044.405,201793.13,200839.458,200338.736,200779.871,200949.829,201706.354,200143.778,200859.642,201427.587
io.reactivex.rxjava3.core.clusters.Cluster_34._Benchmark.benchmark_Cluster_34$ ===,239438.03,240151.697,239297.839,239955.482,240049.219,239265.402,239247.856,238349.072,237824.983,238577.912,238587.948,239432.857,239033.659,236696.482,239122.214,240188.229,239424.81,239862.737,238701.489,239188.944,239274.984,239015.466,239793.196,239386.888,238930.213,239536.223,239163.039,240481.212,240169.649,239027.792
io.reactivex.rxjava3.core.clusters.Cluster_740._Benchmark.benchmark_Cluster_740$ ===,129492.533,130002.292,130054.127,129483.224,128512.151,130058.651,130012.537,130190.536,129792.875,129347.716,129958.476,129862.789,130075.064,130090.825,129529.461,129952.521,129645.515,129832.813,130214.967,128301.74,129933.172,129322.347,129412.14,129645.093,129752.059,129149.094,129931.796,130014.022,130332.189,129394.726
io.reactivex.rxjava3.core.clusters.Cluster_307._Benchmark.benchmark_Cluster_307$ ===,183989.419,183806.904,183757.108,185117.243,184810.796,183995.637,184572.97,184661.259,184013.186,184315.13,183178.595,184289.915,184592.531,184679.252,183916.713,184234.242,184040.963,184477.59,183839.054,184390.24,183161.67,182141.002,183463.134,183496.621,184096.578,184866.351,184331.505,183566.673,183882.299,183770.9
io.reactivex.rxjava3.core.clusters.Cluster_292._Benchmark.benchmark_Cluster_292$ ===,152647.535,152491.876,151668.668,152176.585,152622.777,152162.692,152326.675,152068.55,152696.18,152186.945,152135.472,151795.439,151844.618,152424.528,152504.919,153054.747,151988.714,151853.874,151268.712,152153.867,152648.331,152625.194,152766.465,151927.397,152757.509,152066.441,152727.83,152545.224,152239.522,152735.587
io.reactivex.rxjava3.core.clusters.Cluster_451._Benchmark.benchmark_Cluster_451$ ===,137791.997,138235.246,138005.331,137796.082,137454.545,136564.612,137795.226,137972.009,137924.618,138027.742,137996.545,137687.575,138414.094,137557.761,137991.815,138132.571,137437.936,138120.685,138437.034,138323.546,138250.379,137389.858,138575.17,138306.855,137894.225,138371.097,138303.997,137635.291,138126.614,138078.527
io.reactivex.rxjava3.core.clusters.Cluster_728._Benchmark.benchmark_Cluster_728$ ===,187468.81,186595.956,186432.924,187900.709,187381.438,187229.234,188962.99,186957.703,188465.007,187402.52,186767.081,186684.46,187112.295,186339.288,186947.905,186700.131,187017.476,186255.435,189181.809,187615.066,186913.883,187261.216,187703.385,188446.262,189029.567,187261.452,187382.758,187035.03,187166.677,186173.463
io.reactivex.rxjava3.core.clusters.Cluster_413._Benchmark.benchmark_Cluster_413$ ===,148913.759,147695.862,148062.73,148973.304,148792.39,148856.493,148814.349,148380.016,147357.657,148299.166,148484.995,148011.795,148906.264,149931.125,148765.337,149930.771,148859.508,149829.158,149577.604,149478.131,149549.263,149236.359,149253.002,149841.411,148716.156,148700.784,148507.557,148097.627,149356.254,148408.947
io.reactivex.rxjava3.core.clusters.Cluster_88._Benchmark.benchmark_Cluster_88$ ===,229608.021,229071.589,230830.209,228906.47,230293.988,230833.218,230693.13,230275.821,229165.086,229346.734,229589.754,229277.259,229303.598,230555.268,229302.65,228773.846,229380.665,229578.12,230009.704,230787.288,230725.739,229976.773,231244.074,231294.202,230818.589,230642.248,230317.694,229458.191,229585.974,230854.194
io.reactivex.rxjava3.core.clusters.Cluster_24._Benchmark.benchmark_Cluster_24$ ===,172827.058,173406.405,173133.593,173047.373,172883.436,173065.1,173721.539,173215.657,173540.567,173330.675,173521.443,172992.169,173522.129,173108.862,173402.934,172905.144,173391.422,172835.285,173172.242,173162.177,173387.99,172912.556,173181.959,172846.333,172674.438,172995.056,173227.119,172376.358,173498.831,172832.385
io.reactivex.rxjava3.core.clusters.Cluster_761._Benchmark.benchmark_Cluster_761$ ===,128554.185,127785.687,127511.213,127048.214,126637.201,128797.415,128459.288,128523.616,128225.745,128518.446,127105.597,128088.785,128431.905,128288.094,128695.271,128639.36,127608.115,127126.689,127362.116,128305.981,128060.877,128420.652,128050.098,128474.299,128821.338,128911.775,129112.266,128893.581,129295.154,128479.137
